date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:29	11933/11933	---M--	200	added ('OK')	image/jpeg	etag:%228ed14a978cb26913682e17dffc626803%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73b8c3176cb6a586f1b9a_350.jpeg	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73b8c3176cb6a586f1b9a_350.jpg	(from https://gamercraft.com/blog-posts/champion-synergy-nidalee-twisted-fate)
14:34:29	1052006/1052006	---M--	200	added ('OK')	image/png	etag:%22ebbe18b9a1f9b32c7fb6438bbb192818%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6125201995067525485cac92_FYxzTHjijfeEyTn3YQInr_uh-t4Eh_WUleGP0QLXeewGs4ObnXqNX0IOJs8JAU9A3dd53CpQzg_knFl7D3dk_eiInTT3DKujniCSxaCtpeRGsS3dVC4YMzImKfUdlnAJSpjBup4d%3Ds0.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6125201995067525485cac92_FYxzTHjijfeEyTn3YQInr_uh-t4Eh_WUleGP0QLXeewGs4ObnXqNX0IOJs8JAU9A3dd53CpQzg_knFl7D3dk_eiInTT3DKujniCSxaCtpeRGsS3dVC	(from https://gamercraft.com/blog-posts/team-comp-analysis-1-early-game-compositions)
14:34:30	1334721/1334721	---M--	200	added ('OK')	image/png	etag:%2210ef54c8d405778262f30e2ef2b3d532%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6125201945b2550f76fdc7f9_TPRbAX5ObfmBw782Gq6DgEXr_0Rtgalv_z1fbYwFduw8Vb5p2pWD35M-mXPUU7jNBs4KD5a0d0SEMCqghg_tM_c4K6LYq_TDm7LfIH9Y-bQ-LyHtWe8vPBHinFGHBNpWhbCKa6gc%3Ds0.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6125201945b2550f76fdc7f9_TPRbAX5ObfmBw782Gq6DgEXr_0Rtgalv_z1fbYwFduw8Vb5p2pWD35M-mXPUU7jNBs4KD5a0d0SEMCqghg_tM_c4K6LYq_TDm7LfIH9Y-bQ-LyHtWe	(from https://gamercraft.com/blog-posts/team-comp-analysis-1-early-game-compositions)
14:34:30	1023260/1023260	---M--	200	added ('OK')	image/png	etag:%22fff707cab730f6f81c164ecb0941ff46%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6125201948691465ef09959a_-GeEPRJco4HpM2OGDCmnwIMJEhU3redbHMhRWasjV22QthwNOVKXMX0pm6W_77lZHorXfEFUMtjXdK0e-C_mxsRCCZ2o4XhQ733I_sgZRPKAXoXxlUUaaWJvlIs1GTbjdoCJmSk9%3Ds0.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6125201948691465ef09959a_-GeEPRJco4HpM2OGDCmnwIMJEhU3redbHMhRWasjV22QthwNOVKXMX0pm6W_77lZHorXfEFUMtjXdK0e-C_mxsRCCZ2o4XhQ733I_sgZRPKAXoXxlU	(from https://gamercraft.com/blog-posts/team-comp-analysis-1-early-game-compositions)
14:34:30	1039081/1039081	---M--	200	added ('OK')	image/jpeg	etag:%22402e1e3f670f680214124b0590be4222%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73b9f080c0a5ef7312f5a_Twisted-Fate-Splash-Updated.jpeg	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73b9f080c0a5ef7312f5a_Twisted-Fate-Splash-Updated.jpg	(from https://gamercraft.com/blog-posts/champion-synergy-nidalee-twisted-fate)
14:34:30	690918/690918	---M--	200	added ('OK')	image/png	etag:%229c9a5c2c24b6e0de981c2a5704ab7cf9%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/611e8eff0b89606e5938d02d_aVBd2J-etiodmHq-o9BV2-CpH8_7hE3A7oaP413PGRcpkErlgEiAo0UK5KQfbkMOxqR-sDGNVFI_jPIbKa36QJwDtlj7mt0D_WiFk-b1ADVytTEmLWsdjLHAQU3niWgh20Mx8E0P.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/611e8eff0b89606e5938d02d_aVBd2J-etiodmHq-o9BV2-CpH8_7hE3A7oaP413PGRcpkErlgEiAo0UK5KQfbkMOxqR-sDGNVFI_jPIbKa36QJwDtlj7mt0D_WiFk-b1ADVytTEmLW	(from https://gamercraft.com/blog-posts/champion-breakdown-tristana)
14:34:30	57969/57969	---M--	200	added ('OK')	image/png	etag:%22617036006e61b2b07fb3da33f634dad7%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73bbf5c827fc1d89cfddc_latest.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73bbf5c827fc1d89cfddc_latest.png	(from https://gamercraft.com/blog-posts/champion-synergy-nidalee-twisted-fate)
14:34:32	79383/79383	---M--	200	added ('OK')	image/png	etag:%22e7dd3aa112ff2ab3cde91eb67419ec4a%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73be61d2b6b6dbb56363b_250.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/60f73be61d2b6b6dbb56363b_250.png	(from https://gamercraft.com/blog-posts/champion-synergy-nidalee-twisted-fate)
14:34:38	730996/730996	---M--	200	added ('OK')	image/png	etag:%2291d72e64dd2de803e97a74a52c25fc68%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/611af2936d7e5a19acb51acb_JOeZisekuGF1y68sgPq8rVm8lj-bfxaIsaJILd1Xd0EImX9aM6ZKI3nJOO0D8oTADIxAMIcKOywVWcTYpBZkmTYYa0-V2AcEAHmLpzV-K9e2FIZf50wnOCfjOuher3Y0aqQgwcWa.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/611af2936d7e5a19acb51acb_JOeZisekuGF1y68sgPq8rVm8lj-bfxaIsaJILd1Xd0EImX9aM6ZKI3nJOO0D8oTADIxAMIcKOywVWcTYpBZkmTYYa0-V2AcEAHmLpzV-K9e2FIZf50	(from https://gamercraft.com/blog-posts/how-to-out-of-game-improvement)
14:34:41	870252/870252	---M--	200	added ('OK')	image/png	etag:%22a24111542647e1e268a9763ba4dc626d%22	https://assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6115781fb33c0e22582457c3_c3p40Z4JB4lf8rLm620p5tGIMeGee17XAgUA7X-UeneJaWs_k1BiXOMv0kCJ4PcyOv-k_BCwcEt7lcME67Ce4NFGGKvh500nceleunPHznIwLzOp0mLHYYHMdW4Zx6ePNeHbzmyS.png	C:/Users/ali_9/OneDrive/Desktop/test/gamemaker/assets.website-files.com/5f8aeaae8ac5021ec2825b1a/6115781fb33c0e22582457c3_c3p40Z4JB4lf8rLm620p5tGIMeGee17XAgUA7X-UeneJaWs_k1BiXOMv0kCJ4PcyOv-k_BCwcEt7lcME67Ce4NFGGKvh500nceleunPHznIwLzOp0m	(from https://gamercraft.com/blog-posts/the-psychology-of-league-staying-cool)
